String_Column,H1N1_Cramers_V,Seasonal_Cramers_V,Difference
employment_occupation,0.2582,0.2473,0.010899999999999993
employment_industry,0.2574,0.2648,0.007399999999999962
education,0.0697,0.073,0.0032999999999999974
hhs_geo_region,0.0588,0.0446,0.014199999999999997
income_poverty,0.0585,0.0811,0.022600000000000002
marital_status,0.0511,0.0523,0.0011999999999999997
age_group,0.051,0.2854,0.2344
race,0.0462,0.1051,0.0589
rent_or_own,0.0345,0.1114,0.0769
employment_status,0.031,0.1552,0.1242
sex,0.0206,0.077,0.0564
census_msa,0.0021,0.0225,0.020399999999999998
